2025-11-01 15:25:54.002 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  ViewPostIme pointer 0
2025-11-01 15:25:54.004 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  call setFrameRateCategory for touch hint category=high hint, reason=touch, vri=VRI[MainActivity]@e83e19b
2025-11-01 15:25:54.072 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  ViewPostIme pointer 1
2025-11-01 15:25:54.116 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.119 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.119 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.119 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.120 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.120 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.120 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.123 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.124 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.124 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:54.193 24942-24942 View                    com.udry.app                         I  setRequestedFrameRate frameRate=-4.0, this=com.getcapacitor.CapacitorWebView{4391d49 VFEDHVC.. .F...... 0,0-1080,2109 #7f0901c2 app:id/webview aid=1073741824}, caller=WV.ef.b:1 WV.fg.h:118 WV.fg.onDraw:7 com.android.webview.chromium.WebViewChromium.onDraw:35 android.webkit.WebView.onDraw:2959 
2025-11-01 15:25:57.074 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  call setFrameRateCategory for touch hint category=no preference, reason=boost timeout, vri=VRI[MainActivity]@e83e19b
2025-11-01 15:25:57.227 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  ViewPostIme pointer 0
2025-11-01 15:25:57.229 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  call setFrameRateCategory for touch hint category=high hint, reason=touch, vri=VRI[MainActivity]@e83e19b
2025-11-01 15:25:57.302 24942-24942 VRI[MainAc...y]@e83e19b com.udry.app                         I  ViewPostIme pointer 1
2025-11-01 15:25:57.320 24942-25000 cr_media                com.udry.app                         W  Requires MODIFY_AUDIO_SETTINGS and RECORD_AUDIO. No audio device will be available for recording
2025-11-01 15:25:57.360 24942-24942 View                    com.udry.app                         I  setRequestedFrameRate frameRate=-4.0, this=com.getcapacitor.CapacitorWebView{4391d49 VFEDHVC.. .F...... 0,0-1080,2109 #7f0901c2 app:id/webview aid=1073741824}, caller=WV.ef.b:1 WV.fg.h:118 WV.fg.onDraw:7 com.android.webview.chromium.WebViewChromium.onDraw:35 android.webkit.WebView.onDraw:2959 
2025-11-01 15:25:57.361 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:57.363 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:57.364 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:57.364 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:57.364 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:57.364 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
2025-11-01 15:25:57.364 24942-24942 Capacitor/Console       com.udry.app                         D  File: https://maps.googleapis.com/maps-api-v3/api/js/62/12c/intl/zh_hk/marker.js - Line 3 - Msg: Rendering was performed in a subtree hidden by content-visibility.
